"Name","RMSPE_ratio"
"Karl Marx",5.56458466475498
"Amadeus Wendt",NA
"Arnold Ruge",NA
"August Bebel",2.42857531084242
"Barthold Georg Niebuhr",0.617260410163395
"Bernard Bolzano",NA
"Bruno Bauer",NA
"Bruno Hildebrand",NA
"Carl Stumpf",1.84469706112251
"Christian Schreiber",NA
"Christian Wilhelm von Dohm",NA
"Clausewitz",1.92570226965194
"Dietrich Tiedemann",NA
"Dilthey",3.29620160406246
"E T A Hoffmann",1.67913166611074
"Ebbinghaus",1.73182309213007
"Eduard Beneke",NA
"Eduard Bernstein",2.17621470382863
"Eduard Zeller",0.943134916169174
"Eduard von Hartmann",1.05708708522121
"Eugen Dühring",NA
"Ferdinand Lassalle",0.920042265127362
"Ferdinand Tönnies",1.06138373917868
"Fichte",0.608023509818537
"Franz Brentano",1.3130803402751
"Frege",0.980704420373964
"Friedrich Ast",NA
"Friedrich Carlvon Savigny",NA
"Friedrich Heinrich Jacobi",1.47524023276475
"Friedrich Krause",NA
"Friedrich List",1.04332152035587
"Friedrich Schiller",0.700586093002568
"Friedrich Schlegel",NA
"Fritz Schultze",NA
"Goethe",0.665674766282144
"Gotthold Ephraim Lessing",0.950171586594541
"Gottlob Ernst Schulze",NA
"Grimmelshausen",9.52697333495576
"Gustav Freytag",0.750401780357929
"Gustav Schönberg",NA
"Hamann",2.32891771259527
"Heinrich Feder",NA
"Helmholtz",0.891186209848136
"Herbart",0.647314832528798
"Herder",0.810191466502664
"Hermann Cohen",9.32586816083419
"Hermann Lotze",0.581304371334163
"Hölderlin",5.4224006422612
"Immanuel Kant",1.50510498122772
"Kafka",0.209992859993752
"Karl Knies",NA
"Kuno Fischer",NA
"Külpe",1.53040935501677
"Laspeyres",NA
"Ludwig Büchner",1.2762839516763
"Ludwig Feuerbach",1.39810910195068
"Mainländer",NA
"Martin Luther",1.43411916865109
"Max Stirner",1.26390092636047
"Moses Hess",1.57486363857976
"Moses Mendelssohn",0.680670714956238
"Natorp",0.981658527036441
"Nietzsche",1.17395851152457
"Otto Liebmann",0.715566333165044
"Ranke",0.620597585585967
"Rilke",16.2672088605648
"Rodbertus",0.585612996857248
"Rudolf Haym",1.53892665885917
"Scheler",2.53041936024292
"Schleiermacher",1.27166677954395
"Schmoller",0.998408273855548
"Schopenhauer",0.488883226431168
"Schäffle",1.06641285672437
"Sigismund Beck",0.543105800379087
"Simmel",5.46233430385278
"Sombart",5.28786405745091
"Theodor Fontane",4.58540839932306
"Theodor Lipps",NA
"Thomas Abbt",0.813047954835752
"Thomas Mann",10.8606692139206
"Thünen",0.364639146225764
"Wentscher",NA
"Wilhelm Drobisch",NA
"Wilhelm Roscher",0.63835094267609
"Wilhelmvon Humboldt",NA
"Windelband",1.68017765951485
"Wundt",0.862461538617129
